2025-12-24 10:45:17,296 | INFO | __main__ | cleared download and input folders
2025-12-24 12:49:24,669 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 12:49:24,669 | INFO | __main__ | Step 1 completed
2025-12-24 12:50:05,895 | INFO | __main__ | Step 2 completed
2025-12-24 12:50:05,896 | INFO | __main__ | Raw files are renamed
2025-12-24 12:50:05,899 | INFO | __main__ | files are moved to input folder
2025-12-24 12:50:05,900 | INFO | __main__ | Step 3 completed
2025-12-24 12:50:11,115 | INFO | __main__ | sales and customer master files read
2025-12-24 12:50:11,116 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 12:50:11,613 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 12:50:11,616 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 12:50:11,680 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 12:50:11,731 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 12:50:11,921 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 12:50:11,983 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 12:50:12,364 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 12:55:12,170 | INFO | __main__ | Automation Started
2025-12-24 12:55:12,370 | INFO | __main__ | cleared download and input folders
2025-12-24 12:55:12,432 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 12:55:12,432 | INFO | __main__ | Step 1 completed
2025-12-24 12:55:46,017 | INFO | __main__ | Step 2 completed
2025-12-24 12:55:46,017 | INFO | __main__ | Raw files are renamed
2025-12-24 12:55:46,030 | INFO | __main__ | files are moved to input folder
2025-12-24 12:55:46,050 | INFO | __main__ | Step 3 completed
2025-12-24 12:55:55,407 | INFO | __main__ | sales and customer master files read
2025-12-24 12:55:55,408 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 12:55:55,860 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 12:55:55,863 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 12:55:55,949 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 12:55:56,017 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 12:55:56,198 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 12:55:56,307 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 12:55:56,550 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 12:58:29,077 | INFO | __main__ | Automation Started
2025-12-24 12:58:29,086 | INFO | __main__ | cleared download and input folders
2025-12-24 12:58:29,088 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 12:58:29,089 | INFO | __main__ | Step 1 completed
2025-12-24 12:59:03,659 | INFO | __main__ | Step 2 completed
2025-12-24 12:59:03,659 | INFO | __main__ | Raw files are renamed
2025-12-24 12:59:03,662 | INFO | __main__ | files are moved to input folder
2025-12-24 12:59:03,666 | INFO | __main__ | Step 3 completed
2025-12-24 12:59:06,470 | INFO | __main__ | sales and customer master files read
2025-12-24 12:59:06,471 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 12:59:06,910 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 12:59:06,916 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 12:59:06,985 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 12:59:07,059 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 12:59:07,281 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 12:59:07,351 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 12:59:07,568 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 13:02:06,071 | INFO | __main__ | Automation Started
2025-12-24 13:02:06,081 | INFO | __main__ | cleared download and input folders
2025-12-24 13:02:06,086 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 13:02:06,086 | INFO | __main__ | Step 1 completed
2025-12-24 13:02:29,099 | INFO | __main__ | Step 2 completed
2025-12-24 13:02:29,100 | INFO | __main__ | Raw files are renamed
2025-12-24 13:02:29,105 | INFO | __main__ | files are moved to input folder
2025-12-24 13:02:29,107 | INFO | __main__ | Step 3 completed
2025-12-24 13:02:30,680 | INFO | __main__ | sales and customer master files read
2025-12-24 13:02:30,680 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 13:02:31,279 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 13:02:31,301 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 13:02:31,361 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 13:02:31,433 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 13:02:31,606 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 13:02:31,627 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 13:03:25,363 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 18:37:06,152 | INFO | __main__ | Automation Started
2025-12-24 18:37:06,211 | INFO | __main__ | cleared download and input folders
2025-12-24 18:37:06,213 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 18:37:06,214 | INFO | __main__ | Step 1 completed
2025-12-24 18:37:39,932 | INFO | __main__ | Step 2 completed
2025-12-24 18:37:39,933 | INFO | __main__ | Raw files are renamed
2025-12-24 18:37:39,941 | INFO | __main__ | files are moved to input folder
2025-12-24 18:37:39,948 | INFO | __main__ | Step 3 completed
2025-12-24 18:37:43,017 | INFO | __main__ | sales and customer master files read
2025-12-24 18:37:43,017 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 18:37:43,364 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 18:37:43,367 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 18:37:43,414 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 18:37:43,434 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 18:37:43,497 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 18:37:43,553 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 18:37:44,076 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 18:37:44,781 | INFO | __main__ | Email bot started
2025-12-24 18:42:35,159 | INFO | __main__ | Automation Started
2025-12-24 18:42:35,163 | INFO | __main__ | cleared download and input folders
2025-12-24 18:42:35,164 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 18:42:35,165 | INFO | __main__ | Step 1 completed
2025-12-24 18:42:54,305 | INFO | __main__ | Step 2 completed
2025-12-24 18:42:54,306 | INFO | __main__ | Raw files are renamed
2025-12-24 18:42:54,309 | INFO | __main__ | files are moved to input folder
2025-12-24 18:42:54,311 | INFO | __main__ | Step 3 completed
2025-12-24 18:42:54,809 | INFO | __main__ | sales and customer master files read
2025-12-24 18:42:54,810 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 18:42:54,859 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 18:42:54,871 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 18:42:54,891 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 18:42:54,924 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 18:42:54,965 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 18:42:54,980 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 18:42:55,229 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 18:42:55,580 | INFO | __main__ | Email bot started
2025-12-24 18:44:46,851 | INFO | __main__ | Automation Started
2025-12-24 18:44:46,855 | INFO | __main__ | cleared download and input folders
2025-12-24 18:44:46,856 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 18:44:46,857 | INFO | __main__ | Step 1 completed
2025-12-24 18:45:05,230 | INFO | __main__ | Step 2 completed
2025-12-24 18:45:05,231 | INFO | __main__ | Raw files are renamed
2025-12-24 18:45:05,238 | INFO | __main__ | files are moved to input folder
2025-12-24 18:45:05,241 | INFO | __main__ | Step 3 completed
2025-12-24 18:45:05,769 | INFO | __main__ | sales and customer master files read
2025-12-24 18:45:05,769 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 18:45:05,818 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 18:45:05,820 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 18:45:05,846 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 18:45:05,869 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 18:45:05,912 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 18:45:05,921 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 18:45:06,113 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 18:45:06,499 | INFO | __main__ | Email bot started
2025-12-24 18:48:23,713 | INFO | __main__ | Automation Started
2025-12-24 18:48:23,717 | INFO | __main__ | cleared download and input folders
2025-12-24 18:48:23,719 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 18:48:23,719 | INFO | __main__ | Step 1 completed
2025-12-24 18:48:42,010 | INFO | __main__ | Step 2 completed
2025-12-24 18:48:42,012 | INFO | __main__ | Raw files are renamed
2025-12-24 18:48:42,020 | INFO | __main__ | files are moved to input folder
2025-12-24 18:48:42,024 | INFO | __main__ | Step 3 completed
2025-12-24 18:48:42,550 | INFO | __main__ | sales and customer master files read
2025-12-24 18:48:42,550 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 18:48:42,596 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 18:48:42,602 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 18:48:42,633 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 18:48:42,656 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 18:48:42,706 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 18:48:42,719 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 18:48:43,244 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 18:48:43,694 | INFO | __main__ | Email bot started
2025-12-24 19:13:33,789 | INFO | __main__ | Automation Started
2025-12-24 19:13:33,796 | INFO | __main__ | cleared download and input folders
2025-12-24 19:13:33,798 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 19:13:33,798 | INFO | __main__ | Step 1 completed
2025-12-24 19:13:55,995 | INFO | __main__ | Step 2 completed
2025-12-24 19:13:55,996 | INFO | __main__ | Raw files are renamed
2025-12-24 19:13:56,003 | INFO | __main__ | files are moved to input folder
2025-12-24 19:13:56,006 | INFO | __main__ | Step 3 completed
2025-12-24 19:13:56,558 | INFO | __main__ | sales and customer master files read
2025-12-24 19:13:56,558 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 19:13:56,616 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 19:13:56,619 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 19:13:56,641 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 19:13:56,663 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 19:13:56,703 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 19:13:56,716 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 19:13:56,896 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 19:13:57,228 | INFO | __main__ | Email bot started
2025-12-24 19:27:59,181 | INFO | __main__ | Automation Started
2025-12-24 19:27:59,188 | INFO | __main__ | cleared download and input folders
2025-12-24 19:27:59,190 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 19:27:59,190 | INFO | __main__ | Step 1 completed
2025-12-24 19:28:22,966 | INFO | __main__ | Step 2 completed
2025-12-24 19:28:22,967 | INFO | __main__ | Raw files are renamed
2025-12-24 19:28:22,975 | INFO | __main__ | files are moved to input folder
2025-12-24 19:28:22,979 | INFO | __main__ | Step 3 completed
2025-12-24 19:28:23,517 | INFO | __main__ | sales and customer master files read
2025-12-24 19:28:23,517 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 19:28:23,560 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 19:28:23,563 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 19:28:23,589 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 19:28:23,611 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 19:28:23,656 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 19:28:23,668 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 19:28:23,938 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 19:28:24,360 | INFO | __main__ | Step 12 completed – DB API DB status updated
2025-12-24 19:28:24,361 | INFO | __main__ | Email bot started
2025-12-24 19:29:14,333 | INFO | __main__ | Automation Started
2025-12-24 19:29:14,338 | INFO | __main__ | cleared download and input folders
2025-12-24 19:29:14,340 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 19:29:14,341 | INFO | __main__ | Step 1 completed
2025-12-24 19:29:32,588 | INFO | __main__ | Step 2 completed
2025-12-24 19:29:32,589 | INFO | __main__ | Raw files are renamed
2025-12-24 19:29:32,598 | INFO | __main__ | files are moved to input folder
2025-12-24 19:29:32,601 | INFO | __main__ | Step 3 completed
2025-12-24 19:29:33,184 | INFO | __main__ | sales and customer master files read
2025-12-24 19:29:33,184 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 19:29:33,238 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 19:29:33,241 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 19:29:33,267 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 19:29:33,294 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 19:29:33,328 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 19:29:33,338 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 19:29:33,700 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 19:29:34,250 | INFO | __main__ | Step 12 completed – DB API DB status updated
2025-12-24 20:26:29,130 | INFO | __main__ | Automation Started
2025-12-24 20:26:29,137 | INFO | __main__ | cleared download and input folders
2025-12-24 20:26:29,139 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-24 20:26:29,140 | INFO | __main__ | Step 1 completed
2025-12-24 20:26:49,012 | INFO | __main__ | Step 2 completed
2025-12-24 20:26:49,013 | INFO | __main__ | Raw files are renamed
2025-12-24 20:26:49,022 | INFO | __main__ | files are moved to input folder
2025-12-24 20:26:49,025 | INFO | __main__ | Step 3 completed
2025-12-24 20:26:49,739 | INFO | __main__ | sales and customer master files read
2025-12-24 20:26:49,739 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-24 20:26:49,793 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-24 20:26:49,796 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-24 20:26:49,816 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-24 20:26:49,840 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-24 20:26:49,879 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-24 20:26:49,890 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-24 20:26:50,154 | INFO | __main__ | Data written to DB (PENDING)
2025-12-24 20:26:50,760 | INFO | __main__ | Step 12 completed – DB API DB status updated
2025-12-24 20:26:50,760 | INFO | __main__ | Email bot started
2025-12-25 09:24:21,473 | INFO | __main__ | Automation Started
2025-12-25 09:24:21,502 | INFO | __main__ | cleared download and input folders
2025-12-25 09:24:21,531 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-25 09:24:21,532 | INFO | __main__ | Step 1 completed
2025-12-25 09:24:51,463 | INFO | __main__ | Step 2 completed
2025-12-25 09:24:51,464 | INFO | __main__ | Raw files are renamed
2025-12-25 09:24:51,467 | INFO | __main__ | files are moved to input folder
2025-12-25 09:24:51,468 | INFO | __main__ | Step 3 completed
2025-12-25 09:24:55,635 | INFO | __main__ | sales and customer master files read
2025-12-25 09:24:55,636 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-25 09:24:56,060 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-25 09:24:56,066 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-25 09:24:56,109 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-25 09:24:56,129 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-25 09:24:56,242 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-25 09:24:56,358 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-25 09:24:57,152 | INFO | __main__ | Data written to DB (PENDING)
2025-12-25 09:24:57,901 | INFO | __main__ | Step 12 completed – DB API DB status updated
2025-12-25 09:26:46,853 | INFO | __main__ | Automation Started
2025-12-25 09:26:46,858 | INFO | __main__ | cleared download and input folders
2025-12-25 09:26:46,859 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-25 09:26:46,860 | INFO | __main__ | Step 1 completed
2025-12-25 09:27:04,079 | INFO | __main__ | Step 2 completed
2025-12-25 09:27:04,080 | INFO | __main__ | Raw files are renamed
2025-12-25 09:27:04,085 | INFO | __main__ | files are moved to input folder
2025-12-25 09:27:04,086 | INFO | __main__ | Step 3 completed
2025-12-25 09:27:04,578 | INFO | __main__ | sales and customer master files read
2025-12-25 09:27:04,578 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-25 09:27:04,617 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-25 09:27:04,620 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-25 09:27:04,635 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-25 09:27:04,651 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-25 09:27:04,680 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-25 09:27:04,691 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-25 09:27:04,817 | INFO | __main__ | Data written to DB (PENDING)
2025-12-25 09:27:05,175 | INFO | __main__ | Step 12 completed – DB API DB status updated
2025-12-25 09:27:21,712 | INFO | __main__ | Automation Started
2025-12-25 09:27:21,721 | INFO | __main__ | cleared download and input folders
2025-12-25 09:27:21,723 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-25 09:27:21,723 | INFO | __main__ | Step 1 completed
2025-12-25 09:27:40,995 | INFO | __main__ | Step 2 completed
2025-12-25 09:27:40,999 | INFO | __main__ | Raw files are renamed
2025-12-25 09:27:41,007 | INFO | __main__ | files are moved to input folder
2025-12-25 09:27:41,014 | INFO | __main__ | Step 3 completed
2025-12-25 09:27:41,497 | INFO | __main__ | sales and customer master files read
2025-12-25 09:27:41,497 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-25 09:27:41,539 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-25 09:27:41,542 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-25 09:27:41,557 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-25 09:27:41,573 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-25 09:27:41,600 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-25 09:27:41,612 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-25 09:27:41,722 | INFO | __main__ | Data written to DB (PENDING)
2025-12-25 09:27:42,168 | INFO | __main__ | Step 12 completed – DB API DB status updated
2025-12-25 09:28:07,975 | INFO | __main__ | Automation Started
2025-12-25 09:28:07,983 | INFO | __main__ | cleared download and input folders
2025-12-25 09:28:07,984 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-25 09:28:07,984 | INFO | __main__ | Step 1 completed
2025-12-25 09:28:44,757 | INFO | __main__ | Automation Started
2025-12-25 09:28:44,761 | INFO | __main__ | cleared download and input folders
2025-12-25 09:28:44,763 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-25 09:28:44,763 | INFO | __main__ | Step 1 completed
2025-12-25 09:29:02,413 | INFO | __main__ | Step 2 completed
2025-12-25 09:29:02,418 | INFO | __main__ | Raw files are renamed
2025-12-25 09:29:02,424 | INFO | __main__ | files are moved to input folder
2025-12-25 09:29:02,436 | INFO | __main__ | Step 3 completed
2025-12-25 09:29:02,945 | INFO | __main__ | sales and customer master files read
2025-12-25 09:29:02,945 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-25 09:29:03,040 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-25 09:29:03,047 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-25 09:29:03,081 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-25 09:29:03,127 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-25 09:29:03,163 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-25 09:29:03,180 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-25 09:29:03,301 | INFO | __main__ | Data written to DB (PENDING)
2025-12-25 09:29:50,665 | INFO | __main__ | Automation Started
2025-12-25 09:29:50,669 | INFO | __main__ | cleared download and input folders
2025-12-25 09:29:50,670 | INFO | __main__ | Created folder if not exist for input,output,download path
2025-12-25 09:29:50,670 | INFO | __main__ | Step 1 completed
2025-12-25 09:30:07,763 | INFO | __main__ | Step 2 completed
2025-12-25 09:30:07,764 | INFO | __main__ | Raw files are renamed
2025-12-25 09:30:07,769 | INFO | __main__ | files are moved to input folder
2025-12-25 09:30:07,770 | INFO | __main__ | Step 3 completed
2025-12-25 09:30:08,264 | INFO | __main__ | sales and customer master files read
2025-12-25 09:30:08,265 | INFO | __main__ | Step 4 completed – Files validated and loaded
2025-12-25 09:30:08,305 | INFO | __main__ | Step 5 completed – merged sales and customer report
2025-12-25 09:30:08,309 | INFO | __main__ | Step 6 completed – created_total_priceColumn
2025-12-25 09:30:08,325 | INFO | __main__ | Step 7 completed – mapped merlin columns
2025-12-25 09:30:08,340 | INFO | __main__ | Step 8 completed – mapped merlin columns
2025-12-25 09:30:08,371 | INFO | __main__ | Step 9 completed – Merlin Excel ready
2025-12-25 09:30:08,382 | INFO | __main__ | Step 11 completed – Data uploaded to Merlin
2025-12-25 09:30:08,499 | INFO | __main__ | Data written to DB (PENDING)
2025-12-25 09:30:09,423 | INFO | __main__ | Step 12 completed – DB API DB status updated
